,year,date,stream,total_value,total_volume,ma_volume,ma_value,day
137,2020,7/9/2020,Y-Remittances,806983615.7,1383560,2163665.2,1310522239,7/9/2021
138,2020,7/9/2020,Z-Computer Rejects,2854727.33,261,262.2,2830107.374,7/9/2021
139,2020,7/10/2020,A-ABM Adjust.,7459.05,42,34.8,6086.194,7/10/2021
140,2020,7/10/2020,B-CSB,506895.57,316,305.4,370044.022,7/10/2021
141,2020,7/10/2020,C-AFT Credit,9905114816,3533618,2286061.8,8744501539,7/10/2021
142,2020,7/10/2020,D-AFT Debit,2329838633,2113778,2962200.6,2973110585,7/10/2021
143,2020,7/10/2020,E-Encoded Paper,639886483.1,32846,41829,518901432.3,7/10/2021
144,2020,7/10/2020,F-Remittances,1353479.52,2012,1595.6,3446538.012,7/10/2021
145,2020,7/10/2020,G-Rec Gen Warr,335832330,277672,194453,361235795.3,7/10/2021
146,2020,7/10/2020,H-Bonds & Coupon,479,2,6.2,206.65,7/10/2021
147,2020,7/10/2020,I-Images,0,0,0,0,7/10/2021
148,2020,7/10/2020,J-Online Cr Pmt,4855875.81,13730,17594.6,5635906.306,7/10/2021
149,2020,7/10/2020,K-Online Pmt Ref,25687.55,221,379,39630.912,7/10/2021
150,2020,7/10/2020,M-Gov Direc Dep,1737506849,3907580,2768975.6,2149488065,7/10/2021
151,2020,7/10/2020,N-Shared Network,65190933.24,372900,449067,69142124.92,7/10/2021
152,2020,7/10/2020,O-Images,6936166106,1096975,1332621.6,8166247656,7/10/2021
153,2020,7/10/2020,P-POS - DR,669514970.6,15789213,20930321.6,869612696.2,7/10/2021
154,2020,7/10/2020,Q-POS - CR,8103878.68,120720,164436.8,10946340.1,7/10/2021
155,2020,7/10/2020,R-Image Returns,0,0,0,0,7/10/2021
156,2020,7/10/2020,S-Image Returns,5733229.42,847,1441,8105652.132,7/10/2021
157,2020,7/10/2020,U-Unqualified,1741521.96,941,891.4,1571507.236,7/10/2021
158,2020,7/10/2020,V-SET,0,0,0,0,7/10/2021
159,2020,7/10/2020,X-EDI,580719573.9,20705,15606.6,514750403,7/10/2021
160,2020,7/10/2020,Y-Remittances,825957557.8,1493438,1964087.6,1133174154,7/10/2021
161,2020,7/10/2020,Z-Computer Rejects,2633841.41,257,263.8,2519618.054,7/10/2021
